iter	Passed	Remaining
0	493	493038
1	974	486457
2	1470	488849
3	1944	484161
4	2437	485037
5	2921	483952
6	3452	489813
7	3938	488431
8	4399	484414
9	4893	484486
10	5343	480427
11	5699	469243
12	6095	462798
13	6522	459385
14	7030	461677
15	7624	468883
16	8145	470981
17	8543	466075
18	8967	463001
19	9401	460683
20	9810	457337
21	10243	455378
22	10695	454305
23	11210	455890
24	11655	454549
25	12133	454545
26	12682	457030
27	13148	456446
28	13643	456826
29	14067	454855
30	14519	453850
31	15047	455173
32	15537	455289
33	15985	454188
34	16499	454909
35	16954	453990
36	17588	457773
37	18007	455869
38	18454	454749
39	18923	454173
40	19361	452873
41	19846	452687
42	20494	456129
43	21039	457141
44	21542	457177
45	22048	457262
46	22559	457424
47	23004	456255
48	23514	456370
49	23960	455244
50	24421	454428
51	24885	453682
52	25321	452446
53	25748	451069
54	26248	450999
55	26756	451030
56	27233	450554
57	27678	449531
58	28211	449953
59	28669	449150
60	29140	448569
61	29603	447864
62	30066	447180
63	30555	446880
64	31072	446964
65	31595	447128
66	32114	447204
67	32556	446220
68	33046	445888
69	33460	444549
70	34020	445138
71	34452	444051
72	34960	443948
73	35471	443869
74	35919	443010
75	36409	442658
76	36948	442903
77	37556	443942
78	38124	444458
79	38575	443617
80	39117	443819
81	39588	443200
82	40076	442767
83	40610	442846
84	41066	442069
85	41539	441480
86	42026	441038
87	42501	440467
88	42937	439502
89	43394	438770
90	43917	438696
91	44382	438032
92	44913	438027
93	45381	437398
94	45889	437162
95	46332	436294
96	46788	435564
97	47268	435060
98	47719	434292
99	48205	433849
100	48698	433463
101	49221	433338
102	49787	433588
103	50349	433784
104	50877	433672
105	51393	433454
106	51875	432942
107	52344	432325
108	52768	431348
109	53234	430713
110	53702	430106
111	54181	429581
112	54689	429287
113	55066	427974
114	55550	427496
115	56039	427059
116	56533	426656
117	57019	426196
118	57441	425262
119	57920	424751
120	58384	424129
121	58876	423715
122	59393	423477
123	59907	423215
124	60562	423940
125	61087	423732
126	61694	424091
127	62265	424186
128	62835	424264
129	63327	423807
130	63868	423675
131	64383	423369
132	64865	422846
133	65376	422507
134	65875	422088
135	66400	421835
136	66881	421307
137	67396	420983
138	68021	421343
139	68612	421473
140	69097	420954
141	69628	420715
142	70133	420312
143	70580	419559
144	71173	419675
145	71807	420026
146	72373	419961
147	72849	419376
148	73279	418529
149	73792	418160
150	74245	417443
151	74678	416627
152	75207	416345
153	75875	416820
154	76413	416578
155	76881	415950
156	77350	415325
157	77823	414730
158	78297	414137
159	78752	413448
160	79167	412556
161	79644	411985
162	80041	411011
163	80495	410330
164	80931	409562
165	81356	408742
166	81769	407870
167	82160	406890
168	82753	406913
169	83229	406357
170	83738	405962
171	84208	405373
172	84656	404689
173	85147	404207
174	85570	403401
175	85972	402509
176	86396	401719
177	86884	401229
178	87237	400124
179	87677	399421
180	88064	398481
181	88475	397651
182	88895	396873
183	89323	396129
184	89822	395704
185	90248	394959
186	90680	394242
187	91098	393469
188	91440	392372
189	91834	391506
190	92237	390679
191	92695	390092
192	93095	389263
193	93575	388772
194	94053	388270
195	94504	387661
196	94930	386950
197	95314	386071
198	95712	385252
199	96125	384502
200	96560	383839
201	96961	383044
202	97381	382331
203	97804	381627
204	98188	380781
205	98565	379908
206	98911	378921
207	99321	378186
208	99715	377392
209	100106	376592
210	100497	375792
211	100898	375036
212	101321	374366
213	101741	373686
214	102177	373065
215	102633	372520
